Data;Casos Totais;Mortes;Recuperados;Internados;UCI
15/fev;0;0;0;0;0
16/fev;0;0;0;0;0
17/fev;0;0;0;0;0
18/fev;0;0;0;0;0
19/fev;0;0;0;0;0
20/fev;0;0;0;0;0
21/fev;0;0;0;0;0
22/fev;0;0;0;0;0
23/fev;0;0;0;0;0
24/fev;0;0;0;0;0
25/fev;0;0;0;0;0
26/fev;0;0;0;0;0
27/fev;0;0;0;0;0
28/fev;0;0;0;0;0
29/fev;0;0;0;0;0
1/mar;0;0;0;0;0
2/mar;0;0;0;0;0
3/mar;4;0;0;0;0
4/mar;6;0;0;0;0
5/mar;9;0;0;0;0
6/mar;13;0;0;0;0
7/mar;21;0;0;0;0
8/mar;30;0;0;0;0
9/mar;39;0;0;0;0
10/mar;41;0;0;40;0
11/mar;59;0;0;57;0
12/mar;78;0;0;69;0
13/mar;112;0;1;107;0
14/mar;169;0;2;114;10
15/mar;245;0;2;139;9
16/mar;330;1;3;139;18
17/mar;448;1;3;206;17
18/mar;642;2;3;89;20
19/mar;785;3;3;89;20
20/mar;1020;6;5;126;26
21/mar;1280;12;5;156;35
22/mar;1610;14;5;169;41
23/mar;2060;23;14;201;47
24/mar;2362;33;22;203;48
25/mar;2995;43;22;276;61
26/mar;3544;60;43;191;61
27/mar;4268;76;43;354;71
28/mar;5170;100;43;418;89
29/mar;5962;119;43;486;138
30/mar;6408;140;43;571;164
31/mar;7443;160;43;627;188
1/abr;8251;187;43;726;230
2/abr;9034;209;68;1042;240
3/abr;9886;246;68;1058;245
4/abr;10524;266;75;1075;251
5/abr;11278;295;75;1084;267
6/abr;11730;311;140;1099;270
7/abr;12442;345;184;1180;271
8/abr;13141;380;196;1211;245
9/abr;13956;409;205;1173;241
10/abr;15472;435;233;1179;226
11/abr;15987;470;266;1175;233
12/abr;16585;504;277;1177;228
13/abr;16934;535;277;1187;188
14/abr;17448;567;347;1227;218
15/abr;18091;599;383;1200;208
16/abr;18841;629;493;1302;229
17/abr;19022;657;519;1284;222
18/abr;19685;687;610;1253;228
19/abr;20206;714;610;1243;224
20/abr;20863;735;610;1208;215
21/abr;21379;762;917;1172;213
22/abr;21982;785;1143;1146;207
23/abr;22353;820;1201;1095;204
24/abr;22797;854;1228;1068;188
25/abr;23271;880;1277;1040;186
26/abr;23683;903;1329;1005;182
27/abr;23846;928;1357;995;176
28/abr;24141;948;1389;936;172
29/abr;24324;973;1470;980;169
30/abr;24692;989;1519;968;172
1/mai;24987;1007;1647;892;154
2/mai;25190;1023;1671;855;150
3/mai;25282;1043;1689;856;144
4/mai;25524;1063;1712;813;143
5/mai;25702;1074;1743;818;134
6/mai;26182;1089;2076;838;136
7/mai;26715;1105;2258;874;135
8/mai;27268;1114;2422;842;127
9/mai;27406;1126;2499;815;120
10/mai;27581;1135;2549;797;112
11/mai;27679;1144;2549;805;112
12/mai;27913;1163;3013;709;113
13/mai;28132;1175;3182;692;103
14/mai;28319;1184;3198;680;108
15/mai;28583;1190;3328;673;112
16/mai;28810;1203;3822;657;115
17/mai;29036;1218;4636;649;108
18/mai;29209;1231;6430;628;105
19/mai;29432;1247;6431;629;101
20/mai;29660;1263;6452;609;93
21/mai;29912;1277;6452;608;92
22/mai;30200;1289;7590;576;84
23/mai;30471;1302;7705;550;80
24/mai;30623;1316;17549;536;78
25/mai;30788;1330;17822;531;72
26/mai;31007;1342;18096;513;71
27/mai;31292;1356;18349;510;66
28/mai;31596;1369;18637;512;65
29/mai;31946;1383;18911;529;66
30/mai;32203;1396;19186;514;63
31/mai;32500;1410;19409;474;64
1/jun;32700;1424;19552;471;64
2/jun;32895;1436;19869;432;58
3/jun;33261;1447;20079;428;56
4/jun;33592;1455;20323;445;58
5/jun;33969;1465;20526;475;64
6/jun;34351;1474;20807;414;57
7/jun;34693;1479;20995;398;58
8/jun;34885;1485;21156;366;55
9/jun;35306;1492;21339;394;65
10/jun;35600;1497;21742;417;70
11/jun;35910;1504;22002;415;70
12/jun;36180;1505;22200;440;73
13/jun;36463;1512;22438;428;77
14/jun;36690;1517;22669;419;73
15/jun;37036;1520;22852;431;73
16/jun;37336;1522;23212;423;71
17/jun;37672;1523;23580;435;69
18/jun;38089;1524;24010;416;67
19/jun;38464;1527;24477;422;67
20/jun;38841;1528;24906;422;70
21/jun;39133;1530;25376;407;69
22/jun;39392;1534;25548;424;72
23/jun;39737;1540;25829;441;72
24/jun;40104;1543;26083;429;73
25/jun;40415;1549;26382;436;67
26/jun;40866;1555;26633;457;67
27/jun;41189;1561;26864;442;70
28/jun;41466;1564;27066;458;75
29/jun;41912;1568;27205;489;71
30/jun;42171;1576;27505;491;73
1/jul;42523;1579;27789;503;79
2/jul;42901;1587;28097;510;77
3/jul;43356;1598;28424;495;72
4/jul;43769;1605;28772;489;73
5/jul;44097;1614;29017;504;73
6/jul;44329;1620;29166;513;74
7/jul;44616;1629;29445;511;76
8/jul;45059;1631;29714;512;74
9/jul;45477;1644;30049;487;73
10/jul;45879;1646;30350;471;66
11/jul;46221;1654;30655;459;68
12/jul;46512;1660;30907;462;64
13/jul;46818;1662;31065;467;63
14/jul;47051;1668;31550;472;69
15/jul;47426;1676;32110;478;68
16/jul;47765;1679;32476;476;72
17/jul;48077;1682;32790;447;67
18/jul;48390;1684;33153;452;65
19/jul;48636;1689;33369;439;61
20/jul;48771;1691;33547;454;61
21/jul;48898;1697;33769;439;62
22/jul;49150;1702;33999;439;59
23/jul;49379;1705;34369;431;59
24/jul;49692;1712;34687;420;52
25/jul;49955;1716;35010;410;50
26/jul;50164;1717;35217;403;48
27/jul;50299;1719;35375;414;45
28/jul;50410;1722;35626;402;41
29/jul;50613;1725;35875;403;43
30/jul;50868;1727;36140;403;42
31/jul;51072;1735;36483;381;41
1/ago;51310;1737;36783;375;40
2/ago;51463;1738;36984;378;41
3/ago;51569;1738;37111;390;42
4/ago;51681;1739;37318;401;44
5/ago;51848;1740;37565;384;41
6/ago;52061;1743;37840;369;42
7/ago;52351;1746;38087;356;36
8/ago;52537;1750;38364;357;33
